State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AL,35004,MOODY,0.040000,0.100000,0,0.040000,0.020000,2
AL,35005,ADAMSVILLE,0.040000,0.100000,0.010000,0.040000,0.010000,1
AL,35006,"JEFFERSON COUNTY",0.040000,0.060000,0.010000,0,0.010000,2
AL,35007,ALABASTER,0.040000,0.090000,0.010000,0.040000,0,1
AL,35010,ALEXANDER,0.040000,0.100000,0.020000,0.040000,0,1
AL,35011,ALEXANDER,0.040000,0.100000,0.020000,0.040000,0,1
AL,35013,ALLGOOD,0.040000,0.100000,0.030000,0.030000,0,1
AL,35014,"TALLADEGA COUNTY",0.040000,0.070000,0.030000,0,0,1
AL,35015,IRONDALE,0.040000,0.100000,0.010000,0.040000,0.010000,1
AL,35016,"ARAB (MARSHALL CO)",0.040000,0.090000,0.000000,0.050000,0,1
AL,35019,"CULLMAN COUNTY",0.040000,0.085000,0.045000,0,0,1
AL,35020,BESSEMER,0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35021,BESSEMER,0.040000,0.100000,0.010000,0.040000,0.010000,1
AL,35022,BESSEMER,0.040000,0.100000,0.010000,0.040000,0.010000,4
AL,35023,HUEYTOWN,0.040000,0.100000,0.010000,0.040000,0.010000,4
AL,35031,"BLOUNT COUNTY",0.040000,0.070000,0.030000,0,0,1
AL,35032,"CHILDERSBURG PJ",0.040000,0.080000,0.020000,0,0.020000,1
AL,35033,"CULLMAN COUNTY",0.040000,0.085000,0.045000,0,0,2
AL,35034,"BIBB COUNTY",0.040000,0.080000,0.040000,0,0,1
AL,35035,"BIBB COUNTY",0.040000,0.080000,0.040000,0,0,1
AL,35036,GARDENDALE,0.040000,0.100000,0.010000,0.040000,0.010000,2
AL,35038,DORA,0.040000,0.090000,0.020000,0.030000,0,1
AL,35040,"CALERA (SHELBY CO)",0.040000,0.090000,0.010000,0.040000,0,1
AL,35042,CENTREVILLE,0.040000,0.100000,0.040000,0.020000,0,2
AL,35043,CHELSEA,0.040000,0.090000,0.010000,0.040000,0,1
AL,35044,CHILDERSBURG,0.040000,0.090000,0.010000,0.040000,0,2
AL,35045,CLANTON,0.040000,0.090000,0.020000,0.030000,0,1
AL,35046,"CHILTON COUNTY",0.040000,0.060000,0.020000,0,0,1
AL,35048,CLAY,0.040000,0.100000,0.010000,0.040000,0.010000,1
AL,35049,"CLEVELAND PJ",0.040000,0.080000,0.030000,0,0.010000,2
AL,35051,"SHELBY COUNTY",0.040000,0.050000,0.010000,0,0,1
AL,35052,MOODY,0.040000,0.100000,0,0.040000,0.020000,1
AL,35053,"CULLMAN COUNTY",0.040000,0.085000,0.045000,0,0,1
AL,35054,"ST. CLAIR COUNTY",0.040000,0.060000,0,0,0.020000,1
AL,35055,CULLMAN,0.040000,0.090000,0.045000,0.005000,0,3
AL,35056,CULLMAN,0.040000,0.090000,0.045000,0.005000,0,1
AL,35057,"CULLMAN COUNTY",0.040000,0.085000,0.045000,0,0,2
AL,35058,"CULLMAN COUNTY",0.040000,0.085000,0.045000,0,0,1
AL,35060,"ADAMSVILLE PJ",0.040000,0.080000,0.010000,0,0.030000,1
AL,35061,"BIRMINGHAM (JEFFERSON CO)",0.040000,0.100000,0.010000,0.040000,0.010000,1
AL,35062,DORA,0.040000,0.090000,0.020000,0.030000,0,1
AL,35063,"WALKER COUNTY",0.040000,0.060000,0.020000,0,0,1
AL,35064,FAIRFIELD,0.040000,0.100000,0.010000,0.040000,0.010000,1
AL,35068,FULTONDALE,0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35070,"HANCEVILLE UN",0.040000,0.087500,0.045000,0,0.002500,1
AL,35071,GARDENDALE,0.040000,0.100000,0.010000,0.040000,0.010000,1
AL,35072,"CLAY COUNTY",0.040000,0.060000,0.020000,0,0,1
AL,35073,GRAYSVILLE,0.040000,0.100000,0.010000,0.040000,0.010000,3
AL,35074,"WOODSTOCK PJ",0.040000,0.090000,0.040000,0,0.010000,1
AL,35077,"HANCEVILLE UN",0.040000,0.087500,0.045000,0,0.002500,1
AL,35078,HARPERSVILLE,0.040000,0.090000,0.010000,0.040000,0,1
AL,35079,"BLOUNT COUNTY",0.040000,0.070000,0.030000,0,0,2
AL,35080,"HELENA (SHELBY CO)",0.040000,0.090000,0.010000,0.040000,0,2
AL,35082,"CLAY COUNTY",0.040000,0.060000,0.020000,0,0,3
AL,35083,"CULLMAN COUNTY",0.040000,0.085000,0.045000,0,0,1
AL,35085,"CHILTON COUNTY",0.040000,0.060000,0.020000,0,0,1
AL,35087,"CULLMAN COUNTY",0.040000,0.085000,0.045000,0,0,1
AL,35089,"COOSA COUNTY",0.040000,0.060000,0.020000,0,0,1
AL,35091,KIMBERLY,0.040000,0.100000,0.010000,0.040000,0.010000,1
AL,35094,"LEEDS (JEFFERSON CO)",0.040000,0.100000,0.010000,0.040000,0.010000,1
AL,35096,LINCOLN,0.040000,0.100000,0.010000,0.050000,0,1
AL,35097,"LOCUST FORK",0.040000,0.090000,0.030000,0.020000,0,1
